sample_index,filename,true_label,predicted_label,correct,confidence,true_class_probability,predicted_class_probability
113,tree_Sikar_Sikar_31_85_low_density_near_northwest_0_20250528_130909_735541.jpg,129,23,False,0.5333569645881653,0.02652149274945259,0.5333569645881653
227,tree_Sikar_Sikar_60_38_low_density_near_south_0_20250528_165322_445114.jpg,129,146,False,0.9316496849060059,1.7921478502103128e-05,0.9316496849060059
228,tree_Sikar_Sikar_60_38_low_density_near_southwest_0_20250528_165323_753251.jpg,129,146,False,0.9368460178375244,0.0006420693825930357,0.9368460178375244
231,tree_Sikar_Sikar_62_28_low_density_near_center_0_20250528_170610_190983.jpg,129,146,False,0.37089353799819946,0.11228060722351074,0.37089353799819946
385,tree_Jaipur_Jaipur_3_141_low_density_near_west_0_20250526_062421_008442.jpg,129,146,False,0.5455911755561829,0.017668364569544792,0.5455911755561829
485,tree_Jaipur_Jaipur_13_68_low_density_near_center_0_20250526_073710_281527.jpg,129,9,False,0.34621715545654297,0.17876744270324707,0.34621715545654297
635,tree_Jaipur_Jaipur_91_52_low_density_far_northwest_0_20250526_122232_542872.jpg,129,176,False,0.3789921998977661,0.08085651695728302,0.3789921998977661
655,tree_Jaipur_Jaipur_171_13_low_density_near_east_0_20250526_143325_714618.jpg,129,23,False,0.7114515900611877,0.010763122700154781,0.7114515900611877
