district,status,zone
Deoghar,MISSING,NEEDS_MAPPING
Deoria,MISSING,NEEDS_MAPPING
Dewas,MISSING,NEEDS_MAPPING
Dhalai,MISSING,NEEDS_MAPPING
Dhamtari,MISSING,NEEDS_MAPPING
Dhanbad,MISSING,NEEDS_MAPPING
Dhar,MISSING,NEEDS_MAPPING
Dharmapuri,MISSING,NEEDS_MAPPING
Dharwad,MATCH,WESTERN TRANSITION
Dhaulpur,MISSING,NEEDS_MAPPING
Dhemaji,MISSING,NEEDS_MAPPING
Dhenkanal,MISSING,NEEDS_MAPPING
Dhubri,MISSING,NEEDS_MAPPING
Dhule,MISSING,NEEDS_MAPPING
Dibang Valley,MISSING,NEEDS_MAPPING
Dibrugarh,MISSING,NEEDS_MAPPING
Dima Hasao,MISSING,NEEDS_MAPPING
Dimapur,MISSING,NEEDS_MAPPING
Dindigul,MISSING,NEEDS_MAPPING
Dindori,MISSING,NEEDS_MAPPING
Diu,MISSING,NEEDS_MAPPING
Doda,MISSING,NEEDS_MAPPING
Dohad,MISSING,NEEDS_MAPPING
Dumka,MISSING,NEEDS_MAPPING
Dungarpur,MISSING,NEEDS_MAPPING
Durg,MISSING,NEEDS_MAPPING
East,MISSING,NEEDS_MAPPING
East Garo Hills,MISSING,NEEDS_MAPPING
East Godavari,MISSING,NEEDS_MAPPING
East Kameng,MISSING,NEEDS_MAPPING
East Khasi Hills,MISSING,NEEDS_MAPPING
East Nimar,MISSING,NEEDS_MAPPING
East Siang,MISSING,NEEDS_MAPPING
Ernakulam,MISSING,NEEDS_MAPPING
Erode,MISSING,NEEDS_MAPPING
Etah,MISSING,NEEDS_MAPPING
Etawah,MISSING,NEEDS_MAPPING
Faizabad,MISSING,NEEDS_MAPPING
Faridabad,MISSING,NEEDS_MAPPING
Faridkot,MISSING,NEEDS_MAPPING
Farrukhabad,MISSING,NEEDS_MAPPING
Fatehabad,MISSING,NEEDS_MAPPING
Fatehgarh Sahib,MISSING,NEEDS_MAPPING
Fatehpur,MISSING,NEEDS_MAPPING
Firozabad,MISSING,NEEDS_MAPPING
Firozpur,MISSING,NEEDS_MAPPING
Gadag,MATCH,NORTHERN DRY
Gajapati,MISSING,NEEDS_MAPPING
Ganderbal,MISSING,NEEDS_MAPPING
Gandhinagar,MISSING,NEEDS_MAPPING
Ganganagar,MISSING,NEEDS_MAPPING
Ganjam,MISSING,NEEDS_MAPPING
Garhchiroli,MISSING,NEEDS_MAPPING
Garhwa,MISSING,NEEDS_MAPPING
Garhwal,MISSING,NEEDS_MAPPING
Gautam Buddha Nagar,MISSING,NEEDS_MAPPING
Gaya,MISSING,NEEDS_MAPPING
Ghaziabad,MISSING,NEEDS_MAPPING
