Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.460651289009498,0.5771043899566212,0.2879776583945045,1474.0,317.0
Transitional plain zone of Inland drainage,0.4310171198388721,0.5734548790276345,0.2991366815148376,993.0,228.0
Semi arid eastern plain,0.6388888888888888,0.5657142857142856,0.2685311497884571,180.0,35.0
Transitional plain zone of Luni Basin,0.46923076923076923,0.5672043010752689,0.09109680469850648,130.0,6.0
Flood prone eastern plain,0.5102040816326531,0.6084558823529412,0.5252925011900739,49.0,17.0
Arid Western Plain and Hyper Arid Partial irrigated,0.40425531914893614,0.7845528455284554,0.5070922641044592,47.0,6.0
Southern humid plain,0.5,0.625,0.5681957169187772,36.0,16.0
Sub humid southern plain and alluvial hill,0.37037037037037035,0.5079365079365079,0.36357623857623855,27.0,6.0
South eastern humid plain,0.18181818181818182,0.3333333333333333,0.4909090909090909,11.0,3.0
Irrigated North Western Plain,1.0,0.0,0.0,1.0,0.0
