Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.48464163822525597,0.6073477088948787,0.13298833075861846,1465.0,140.0
Transitional plain zone of Inland drainage,0.33083832335329344,0.4916902110686389,0.19186480296508457,668.0,121.0
Semi arid eastern plain,0.504,0.49369747899159666,0.05014573801326924,250.0,12.0
Transitional plain zone of Luni Basin,0.515625,0.3011968085106383,0.017913015008374892,192.0,4.0
Flood prone eastern plain,0.875,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.5444444444444444,0.8199233716475096,0.17733990147783252,90.0,3.0
South eastern humid plain,0.8524590163934426,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5283018867924528,0.0,0.0,53.0,0.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.5714285714285714,0.0,0.0,7.0,0.0
