Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7044368600682593,0.777174996014666,0.2671162569863488,1465.0,153.0
Transitional plain zone of Inland drainage,0.5299401197604791,0.7024906860226106,0.3065924562863767,668.0,112.0
Semi arid eastern plain,0.916,0.56,0.057749803931333055,250.0,5.0
Transitional plain zone of Luni Basin,0.9322916666666666,0.5368983957219251,0.19618053684793715,192.0,5.0
Flood prone eastern plain,0.5576923076923077,0.6855670103092784,0.11621021494971075,104.0,7.0
Sub humid southern plain and alluvial hill,0.9111111111111111,0.6053639846743295,0.09704106280193237,90.0,3.0
South eastern humid plain,0.9180327868852459,0.8508771929824562,0.2900132275132275,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6226415094339622,0.7472527472527473,0.5191490475966496,53.0,14.0
Southern humid plain,0.975,0.5128205128205128,0.05,40.0,1.0
Irrigated North Western Plain,0.2857142857142857,0.6,0.6666666666666666,7.0,2.0
