probability,true_label,species
0.51729065,1.0,Azadirachta indica
0.5461003,1.0,Azadirachta indica
0.53993756,0.0,Azadirachta indica
0.47930396,1.0,Azadirachta indica
0.5121022,1.0,Azadirachta indica
0.5347452,0.0,Azadirachta indica
0.55952674,1.0,Azadirachta indica
0.5046681,0.0,Azadirachta indica
0.5317615,0.0,Azadirachta indica
0.512536,1.0,Azadirachta indica
0.5175612,0.0,Azadirachta indica
0.5355594,0.0,Azadirachta indica
0.5375691,1.0,Azadirachta indica
0.48790142,1.0,Azadirachta indica
0.5063471,0.0,Azadirachta indica
0.50003177,1.0,Azadirachta indica
0.5166864,1.0,Azadirachta indica
0.5063931,0.0,Azadirachta indica
0.51440465,0.0,Azadirachta indica
0.5439883,0.0,Azadirachta indica
0.533928,0.0,Azadirachta indica
0.51058257,1.0,Azadirachta indica
0.53475505,1.0,Azadirachta indica
0.5067186,1.0,Azadirachta indica
0.51199615,0.0,Azadirachta indica
0.5282078,0.0,Azadirachta indica
0.5173461,0.0,Azadirachta indica
0.50834423,0.0,Azadirachta indica
0.5010363,1.0,Azadirachta indica
0.5230918,0.0,Azadirachta indica
0.54800993,1.0,Azadirachta indica
0.5486011,1.0,Azadirachta indica
0.5173974,0.0,Azadirachta indica
0.5033843,0.0,Azadirachta indica
0.5102439,0.0,Azadirachta indica
0.5040316,1.0,Azadirachta indica
0.52993065,0.0,Azadirachta indica
0.5190847,1.0,Azadirachta indica
0.49665377,1.0,Azadirachta indica
0.4943797,0.0,Azadirachta indica
0.5106994,0.0,Azadirachta indica
0.4874876,1.0,Azadirachta indica
0.5130546,0.0,Azadirachta indica
0.5311581,0.0,Azadirachta indica
0.50200695,0.0,Azadirachta indica
0.51514316,0.0,Azadirachta indica
0.49946603,1.0,Azadirachta indica
0.53913206,0.0,Azadirachta indica
0.50421387,0.0,Azadirachta indica
0.50422317,0.0,Azadirachta indica
0.51495194,0.0,Azadirachta indica
0.53583616,0.0,Azadirachta indica
0.5173712,0.0,Azadirachta indica
0.52354485,0.0,Azadirachta indica
0.5014987,0.0,Azadirachta indica
0.51524746,1.0,Azadirachta indica
0.5377515,0.0,Azadirachta indica
0.5245642,0.0,Azadirachta indica
0.5159564,1.0,Azadirachta indica
0.5333268,0.0,Azadirachta indica
0.50707626,1.0,Azadirachta indica
0.566467,0.0,Azadirachta indica
0.4939032,1.0,Azadirachta indica
0.50900626,1.0,Azadirachta indica
0.50355506,0.0,Azadirachta indica
0.5119895,1.0,Azadirachta indica
0.49909553,1.0,Azadirachta indica
0.50380296,0.0,Azadirachta indica
0.5393412,0.0,Azadirachta indica
0.53904426,0.0,Azadirachta indica
0.49736205,0.0,Azadirachta indica
0.50782025,0.0,Azadirachta indica
0.5078012,0.0,Azadirachta indica
0.51410216,0.0,Azadirachta indica
0.50482047,1.0,Azadirachta indica
0.48694572,0.0,Azadirachta indica
0.5222345,0.0,Azadirachta indica
0.52743316,0.0,Azadirachta indica
0.51911825,1.0,Azadirachta indica
0.47903106,1.0,Azadirachta indica
0.50398856,0.0,Azadirachta indica
0.5817109,0.0,Azadirachta indica
0.56072026,1.0,Azadirachta indica
0.52151763,0.0,Azadirachta indica
0.51532817,0.0,Azadirachta indica
0.50813913,0.0,Azadirachta indica
0.5022282,0.0,Azadirachta indica
0.517493,0.0,Azadirachta indica
0.5120628,1.0,Azadirachta indica
0.5081345,1.0,Azadirachta indica
0.52669996,0.0,Azadirachta indica
0.54794747,1.0,Azadirachta indica
0.52046114,0.0,Azadirachta indica
0.5260099,0.0,Azadirachta indica
0.50158185,1.0,Azadirachta indica
0.5252039,1.0,Azadirachta indica
0.5023361,1.0,Azadirachta indica
0.51311815,1.0,Azadirachta indica
0.5254452,0.0,Azadirachta indica
0.49040493,1.0,Azadirachta indica
0.50361824,0.0,Azadirachta indica
0.503469,1.0,Azadirachta indica
0.50746346,0.0,Azadirachta indica
0.48451927,0.0,Azadirachta indica
0.515897,0.0,Azadirachta indica
0.5100993,1.0,Azadirachta indica
0.5342413,0.0,Azadirachta indica
0.51095843,1.0,Azadirachta indica
0.53552485,0.0,Azadirachta indica
0.52025414,0.0,Azadirachta indica
0.50335056,0.0,Azadirachta indica
0.5068355,1.0,Azadirachta indica
0.507785,0.0,Azadirachta indica
0.5114058,0.0,Azadirachta indica
0.506408,1.0,Azadirachta indica
0.53590244,0.0,Azadirachta indica
0.55285513,0.0,Azadirachta indica
0.49648574,0.0,Azadirachta indica
0.5009645,1.0,Azadirachta indica
0.5254474,0.0,Azadirachta indica
0.53136164,0.0,Azadirachta indica
0.5254414,1.0,Azadirachta indica
0.5196805,0.0,Azadirachta indica
0.515685,0.0,Azadirachta indica
0.49077794,1.0,Azadirachta indica
0.51763946,0.0,Azadirachta indica
0.5015994,0.0,Azadirachta indica
0.51567733,0.0,Azadirachta indica
0.5406745,0.0,Azadirachta indica
0.51068544,1.0,Azadirachta indica
0.50760245,0.0,Azadirachta indica
0.49790287,0.0,Azadirachta indica
0.51556987,0.0,Azadirachta indica
0.52007854,0.0,Azadirachta indica
0.5508515,0.0,Azadirachta indica
0.51473033,0.0,Azadirachta indica
0.53122514,0.0,Azadirachta indica
0.51664674,0.0,Azadirachta indica
0.51359016,0.0,Azadirachta indica
0.5478006,0.0,Azadirachta indica
0.53067344,1.0,Azadirachta indica
0.5262748,0.0,Azadirachta indica
0.56221884,1.0,Azadirachta indica
0.5331648,1.0,Azadirachta indica
0.53641707,0.0,Azadirachta indica
0.52030486,0.0,Azadirachta indica
0.5397264,1.0,Azadirachta indica
0.51824343,1.0,Azadirachta indica
0.5202632,1.0,Azadirachta indica
0.52308047,0.0,Azadirachta indica
0.5289343,0.0,Azadirachta indica
0.5016166,0.0,Azadirachta indica
0.5197263,1.0,Azadirachta indica
0.50048405,1.0,Azadirachta indica
0.54215056,0.0,Azadirachta indica
0.5283311,0.0,Azadirachta indica
0.5054628,0.0,Azadirachta indica
0.5225239,0.0,Azadirachta indica
0.50807464,1.0,Azadirachta indica
0.4937776,0.0,Azadirachta indica
0.5455518,0.0,Azadirachta indica
0.52818936,0.0,Azadirachta indica
0.49702504,1.0,Azadirachta indica
0.49173215,0.0,Azadirachta indica
0.5031981,1.0,Azadirachta indica
0.49765086,0.0,Azadirachta indica
0.5155614,0.0,Azadirachta indica
0.5227889,1.0,Azadirachta indica
0.51969045,0.0,Azadirachta indica
0.51104766,1.0,Azadirachta indica
0.5104401,0.0,Azadirachta indica
0.50003016,0.0,Azadirachta indica
0.51623154,0.0,Azadirachta indica
0.48829645,0.0,Azadirachta indica
0.53609955,0.0,Azadirachta indica
0.51173913,0.0,Azadirachta indica
0.4783265,1.0,Azadirachta indica
0.5184282,0.0,Azadirachta indica
0.5017149,0.0,Azadirachta indica
0.52613586,0.0,Azadirachta indica
0.51395893,1.0,Azadirachta indica
0.50882614,0.0,Azadirachta indica
0.5113769,0.0,Azadirachta indica
0.5319964,0.0,Azadirachta indica
0.5018642,1.0,Azadirachta indica
0.5278911,0.0,Azadirachta indica
0.51295674,1.0,Azadirachta indica
0.4983672,1.0,Azadirachta indica
0.51810724,0.0,Azadirachta indica
0.51368916,0.0,Azadirachta indica
0.5283113,0.0,Azadirachta indica
0.5985001,1.0,Azadirachta indica
0.5033402,1.0,Azadirachta indica
0.5179645,1.0,Azadirachta indica
0.529278,0.0,Azadirachta indica
