Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7610921501706485,0.8072169416547106,0.29912444595133203,1465.0,153.0
Transitional plain zone of Inland drainage,0.594311377245509,0.7331224306269271,0.30577064117293223,668.0,112.0
Semi arid eastern plain,0.956,0.6048979591836735,0.13064777827689095,250.0,5.0
Transitional plain zone of Luni Basin,0.9583333333333334,0.5732620320855616,0.35080904262210133,192.0,5.0
Flood prone eastern plain,0.7307692307692307,0.7665684830633284,0.1750663823098431,104.0,7.0
Sub humid southern plain and alluvial hill,0.9333333333333333,0.7318007662835249,0.45893719806763283,90.0,3.0
South eastern humid plain,0.9016393442622951,0.8070175438596492,0.23714826839826839,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.7527472527472528,0.5055666365394169,53.0,14.0
Southern humid plain,0.975,0.17948717948717952,0.030303030303030304,40.0,1.0
Irrigated North Western Plain,0.5714285714285714,0.6,0.6666666666666666,7.0,2.0
