Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6764505119453925,0.7465602295417555,0.5850566235070641,1465.0,488.0
Transitional plain zone of Inland drainage,0.7290419161676647,0.6136868799880659,0.2586484117697738,668.0,123.0
Semi arid eastern plain,0.608,0.6773453878406709,0.5765878684696848,250.0,106.0
Transitional plain zone of Luni Basin,0.6614583333333334,0.6849298927771886,0.7714483236653567,192.0,123.0
Flood prone eastern plain,0.625,0.7373941105284388,0.6948454128765571,104.0,37.0
Sub humid southern plain and alluvial hill,0.5888888888888889,0.6104249011857708,0.6072162989806829,90.0,44.0
South eastern humid plain,0.6229508196721312,0.7362637362637362,0.6866639337269783,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7169811320754716,0.6439393939393939,0.2605724220103305,53.0,9.0
Southern humid plain,0.675,0.7323232323232324,0.6634119802462988,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.3,0.29166666666666663,7.0,2.0
