Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6361774744027304,0.7324257093477861,0.5670085687867479,1465.0,488.0
Transitional plain zone of Inland drainage,0.6976047904191617,0.6006339971656599,0.24390251481848274,668.0,123.0
Semi arid eastern plain,0.584,0.6503537735849056,0.5327051729452746,250.0,106.0
Transitional plain zone of Luni Basin,0.6510416666666666,0.6329680688111229,0.7296314134611201,192.0,123.0
Flood prone eastern plain,0.5576923076923077,0.6938281565147236,0.6657691068688434,104.0,37.0
Sub humid southern plain and alluvial hill,0.5333333333333333,0.5615118577075099,0.578569819925602,90.0,44.0
South eastern humid plain,0.5409836065573771,0.7428571428571428,0.689668888280553,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5849056603773585,0.6363636363636364,0.3023056775408752,53.0,9.0
Southern humid plain,0.55,0.6994949494949494,0.6793396595444694,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.39999999999999997,0.3333333333333333,7.0,2.0
