Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6566552901023891,0.7386739265399265,0.572099080922938,1465.0,488.0
Transitional plain zone of Inland drainage,0.7230538922155688,0.6066606996345193,0.2543066409787528,668.0,123.0
Semi arid eastern plain,0.612,0.6611635220125787,0.5417285400407421,250.0,106.0
Transitional plain zone of Luni Basin,0.65625,0.6492282314127489,0.7366341362581567,192.0,123.0
Flood prone eastern plain,0.5480769230769231,0.7107704719645017,0.6796657051972199,104.0,37.0
Sub humid southern plain and alluvial hill,0.5555555555555556,0.5985671936758893,0.589106972202244,90.0,44.0
South eastern humid plain,0.5573770491803278,0.7241758241758243,0.67238843185315,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6415094339622641,0.6136363636363636,0.27125660787219885,53.0,9.0
Southern humid plain,0.525,0.6919191919191919,0.649249586768562,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.39999999999999997,0.3333333333333333,7.0,2.0
