Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7133105802047781,0.7375741465847472,0.46499452210769643,1465.0,333.0
Transitional plain zone of Inland drainage,0.6796407185628742,0.7337106206376156,0.4307371836146014,668.0,155.0
Semi arid eastern plain,0.74,0.7241660549710464,0.5243226822898012,250.0,67.0
Transitional plain zone of Luni Basin,0.9322916666666666,0.7332998493219488,0.27498247177408264,192.0,11.0
Flood prone eastern plain,0.625,0.7571601452198468,0.6713439104404477,104.0,37.0
Sub humid southern plain and alluvial hill,0.7555555555555555,0.5984015984015985,0.20555120220989154,90.0,13.0
South eastern humid plain,0.6885245901639344,0.6188630490956072,0.3977538535516931,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5094339622641509,0.5865384615384616,0.33585237706955917,53.0,13.0
Southern humid plain,0.575,0.7550505050505051,0.7106572863108811,40.0,18.0
Irrigated North Western Plain,0.2857142857142857,0.0,0.14285714285714285,7.0,1.0
