Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7781569965870307,0.8183626373626374,0.22632063421439758,1465.0,65.0
Transitional plain zone of Inland drainage,0.8622754491017964,0.7477777777777778,0.1571042318426091,668.0,18.0
Semi arid eastern plain,0.848,0.8083670715249662,0.1648148148148148,250.0,3.0
Transitional plain zone of Luni Basin,0.4322916666666667,0.6899922819655261,0.28511371491290943,192.0,23.0
Flood prone eastern plain,0.9038461538461539,0.5436893203883495,0.020833333333333332,104.0,1.0
Sub humid southern plain and alluvial hill,0.7111111111111111,0.8941176470588235,0.5333333333333333,90.0,5.0
South eastern humid plain,0.6065573770491803,0.5593220338983051,0.2688679245283019,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6037735849056604,0.7211538461538461,0.5245855781280883,53.0,13.0
Southern humid plain,0.875,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
