Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.47918088737201364,0.6496010781671159,0.16105072620552857,1465.0,140.0
Transitional plain zone of Inland drainage,0.3248502994011976,0.5121625092540831,0.2021887277841481,668.0,121.0
Semi arid eastern plain,0.484,0.4919467787114846,0.04879615580152491,250.0,12.0
Transitional plain zone of Luni Basin,0.5260416666666666,0.331781914893617,0.019162905508551754,192.0,4.0
Flood prone eastern plain,0.8653846153846154,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.6222222222222222,0.89272030651341,0.2722222222222222,90.0,3.0
South eastern humid plain,0.8360655737704918,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.4339622641509434,0.0,0.0,53.0,0.0
Southern humid plain,0.975,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.5714285714285714,0.0,0.0,7.0,0.0
