Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.710580204778157,0.7536316355810617,0.23682328096810626,1465.0,153.0
Transitional plain zone of Inland drainage,0.5449101796407185,0.661814298561151,0.262775524843858,668.0,112.0
Semi arid eastern plain,0.888,0.5624489795918368,0.09519487871456046,250.0,5.0
Transitional plain zone of Luni Basin,0.9479166666666666,0.5090909090909091,0.2724320579806753,192.0,5.0
Flood prone eastern plain,0.6057692307692307,0.7047128129602356,0.1162129132175215,104.0,7.0
Sub humid southern plain and alluvial hill,0.8777777777777778,0.5708812260536398,0.05612410656270305,90.0,3.0
South eastern humid plain,0.9180327868852459,0.7894736842105263,0.3090080971659919,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6226415094339622,0.73992673992674,0.5214267439314175,53.0,14.0
Southern humid plain,0.975,0.46153846153846156,0.045454545454545456,40.0,1.0
Irrigated North Western Plain,0.42857142857142855,0.6,0.6666666666666666,7.0,2.0
