Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.663481228668942,0.7490614040975216,0.5889544833894906,1465.0,488.0
Transitional plain zone of Inland drainage,0.7200598802395209,0.6157828000298352,0.2544239534597371,668.0,123.0
Semi arid eastern plain,0.596,0.6825864779874213,0.5914275536653257,250.0,106.0
Transitional plain zone of Luni Basin,0.6458333333333334,0.7036644279486274,0.7898252856077747,192.0,123.0
Flood prone eastern plain,0.6153846153846154,0.7434449374747882,0.6682420066194277,104.0,37.0
Sub humid southern plain and alluvial hill,0.5666666666666667,0.6198122529644269,0.6382149095746201,90.0,44.0
South eastern humid plain,0.6065573770491803,0.7824175824175824,0.7291780874038932,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.6742424242424242,0.2694347319347319,53.0,9.0
Southern humid plain,0.65,0.7550505050505051,0.6909894703223791,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.3,0.29166666666666663,7.0,2.0
