Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.957679180887372,0.7592527472527473,0.22230295061481953,1465.0,65.0
Transitional plain zone of Inland drainage,0.9775449101796407,0.7235042735042735,0.28054310213595524,668.0,18.0
Semi arid eastern plain,0.988,0.45614035087719296,0.014250698527669838,250.0,3.0
Transitional plain zone of Luni Basin,0.8802083333333334,0.6683817854386416,0.29859044445211513,192.0,23.0
Flood prone eastern plain,0.9903846153846154,0.5825242718446602,0.022727272727272728,104.0,1.0
Sub humid southern plain and alluvial hill,0.9444444444444444,0.8258823529411765,0.2210569105691057,90.0,5.0
South eastern humid plain,0.9672131147540983,0.6016949152542372,0.1467391304347826,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7547169811320755,0.6961538461538461,0.46163877223217215,53.0,13.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
