Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7378839590443687,0.754130455543883,0.4954228815757151,1465.0,333.0
Transitional plain zone of Inland drainage,0.6856287425149701,0.7239388794567063,0.43662941720111825,668.0,155.0
Semi arid eastern plain,0.772,0.7621727428431612,0.584735895131278,250.0,67.0
Transitional plain zone of Luni Basin,0.9427083333333334,0.8523355097940734,0.39443817849390606,192.0,11.0
Flood prone eastern plain,0.6826923076923077,0.7607906413876563,0.6613127778926133,104.0,37.0
Sub humid southern plain and alluvial hill,0.7777777777777778,0.6903096903096902,0.24712583092123377,90.0,13.0
South eastern humid plain,0.6229508196721312,0.6472868217054264,0.39353420854453425,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7547169811320755,0.6615384615384615,0.4026352334268076,53.0,13.0
Southern humid plain,0.6,0.8156565656565657,0.8109526774172457,40.0,18.0
Irrigated North Western Plain,0.8571428571428571,0.8333333333333334,0.5,7.0,1.0
