Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.668259385665529,0.6860685101599074,0.5172255733042563,1465.0,488.0
Transitional plain zone of Inland drainage,0.7425149700598802,0.6391362720966659,0.27731069871506775,668.0,123.0
Semi arid eastern plain,0.528,0.6069182389937108,0.5664722205169892,250.0,106.0
Transitional plain zone of Luni Basin,0.5677083333333334,0.6238953693884766,0.7523746115356578,192.0,123.0
Flood prone eastern plain,0.7115384615384616,0.7301331181928197,0.626819749018692,104.0,37.0
Sub humid southern plain and alluvial hill,0.6555555555555556,0.6870059288537549,0.6444686959145728,90.0,44.0
South eastern humid plain,0.6229508196721312,0.6813186813186813,0.5996581373053581,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7547169811320755,0.6262626262626263,0.29108128621534773,53.0,9.0
Southern humid plain,0.65,0.6919191919191919,0.6674504638167968,40.0,18.0
Irrigated North Western Plain,0.7142857142857143,0.6,0.6666666666666666,7.0,2.0
