Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7460750853242321,0.7792050255061375,0.2706620918502311,1465.0,153.0
Transitional plain zone of Inland drainage,0.5868263473053892,0.7012943216855088,0.29660591930349434,668.0,112.0
Semi arid eastern plain,0.948,0.5787755102040817,0.07597803042322464,250.0,5.0
Transitional plain zone of Luni Basin,0.953125,0.5368983957219252,0.14008716691049844,192.0,5.0
Flood prone eastern plain,0.6153846153846154,0.6914580265095729,0.12634426976532237,104.0,7.0
Sub humid southern plain and alluvial hill,0.9111111111111111,0.6628352490421456,0.12727272727272726,90.0,3.0
South eastern humid plain,0.9180327868852459,0.7982456140350876,0.21252705627705626,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6792452830188679,0.7673992673992674,0.5254359925258554,53.0,14.0
Southern humid plain,0.975,0.20512820512820518,0.03125,40.0,1.0
Irrigated North Western Plain,0.5714285714285714,0.7,0.7,7.0,2.0
