Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.663481228668942,0.6937785842379481,0.41239223149717763,1465.0,333.0
Transitional plain zone of Inland drainage,0.6302395209580839,0.6750675973086838,0.3590190883956291,668.0,155.0
Semi arid eastern plain,0.688,0.6546774325095833,0.4602558104677693,250.0,67.0
Transitional plain zone of Luni Basin,0.828125,0.6880964339527875,0.19724390758765858,192.0,11.0
Flood prone eastern plain,0.5865384615384616,0.7676482452601856,0.6833724937103414,104.0,37.0
Sub humid southern plain and alluvial hill,0.6777777777777778,0.6633366633366634,0.23519426711283128,90.0,13.0
South eastern humid plain,0.7540983606557377,0.6447028423772609,0.4549265039471305,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5283018867924528,0.5788461538461538,0.28305864300280054,53.0,13.0
Southern humid plain,0.575,0.6994949494949495,0.6745359460043785,40.0,18.0
Irrigated North Western Plain,0.14285714285714285,0.16666666666666663,0.16666666666666666,7.0,1.0
