Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5720136518771332,0.7845552560646901,0.2315839535832332,1465.0,140.0
Transitional plain zone of Inland drainage,0.2844311377245509,0.6367640171030565,0.24547753668055894,668.0,121.0
Semi arid eastern plain,0.644,0.5714285714285715,0.1485971686238454,250.0,12.0
Transitional plain zone of Luni Basin,0.9010416666666666,0.3996010638297873,0.02100047330867386,192.0,4.0
Flood prone eastern plain,0.9903846153846154,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.8777777777777778,0.9731800766283525,0.7666666666666666,90.0,3.0
South eastern humid plain,0.9508196721311475,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5471698113207547,0.0,0.0,53.0,0.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.7142857142857143,0.0,0.0,7.0,0.0
