Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5392491467576792,0.604545358078927,0.3301843931314511,1465.0,333.0
Transitional plain zone of Inland drainage,0.5179640718562875,0.5756649688737974,0.28265394238737657,668.0,155.0
Semi arid eastern plain,0.6,0.5967702471250305,0.3710703883107265,250.0,67.0
Transitional plain zone of Luni Basin,0.546875,0.724761426418885,0.11871901856797494,192.0,11.0
Flood prone eastern plain,0.5288461538461539,0.6942315449778137,0.5785490612162585,104.0,37.0
Sub humid southern plain and alluvial hill,0.4444444444444444,0.6503496503496503,0.2897086917616183,90.0,13.0
South eastern humid plain,0.6885245901639344,0.5839793281653747,0.4885063003854938,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.49056603773584906,0.4307692307692308,0.24303133511575756,53.0,13.0
Southern humid plain,0.55,0.7525252525252526,0.7481221668175404,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.5,0.25,7.0,1.0
