Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7515358361774744,0.7962747252747253,0.1870093140041798,1465.0,65.0
Transitional plain zone of Inland drainage,0.8562874251497006,0.735042735042735,0.17175865279006516,668.0,18.0
Semi arid eastern plain,0.856,0.8097165991902834,0.24809368191721132,250.0,3.0
Transitional plain zone of Luni Basin,0.4010416666666667,0.6503730383329045,0.23203883908951398,192.0,23.0
Flood prone eastern plain,0.8942307692307693,0.3398058252427184,0.014492753623188406,104.0,1.0
Sub humid southern plain and alluvial hill,0.7222222222222222,0.9152941176470588,0.4476190476190476,90.0,5.0
South eastern humid plain,0.22950819672131148,0.5254237288135594,0.2675438596491228,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.4528301886792453,0.625,0.4668005679262715,53.0,13.0
Southern humid plain,0.875,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
