Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.39112627986348125,0.6740889487870619,0.1644442680492764,1465.0,140.0
Transitional plain zone of Inland drainage,0.24550898203592814,0.5231692024113497,0.19801030558742938,668.0,121.0
Semi arid eastern plain,0.388,0.49719887955182074,0.04900663738596481,250.0,12.0
Transitional plain zone of Luni Basin,0.4791666666666667,0.31183510638297873,0.018368224769056612,192.0,4.0
Flood prone eastern plain,0.7307692307692307,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.4888888888888889,0.9425287356321839,0.4,90.0,3.0
South eastern humid plain,0.7377049180327869,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.32075471698113206,0.0,0.0,53.0,0.0
Southern humid plain,0.925,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.14285714285714285,0.0,0.0,7.0,0.0
