Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7235494880546075,0.7525281962378447,0.24659473517465227,1465.0,153.0
Transitional plain zone of Inland drainage,0.5688622754491018,0.6770298047276464,0.27135085836595596,668.0,112.0
Semi arid eastern plain,0.896,0.5175510204081633,0.059877106437693964,250.0,5.0
Transitional plain zone of Luni Basin,0.9270833333333334,0.5155080213903743,0.0675613802256138,192.0,5.0
Flood prone eastern plain,0.6634615384615384,0.707658321060383,0.12544854198989536,104.0,7.0
Sub humid southern plain and alluvial hill,0.8555555555555555,0.5900383141762452,0.06837606837606838,90.0,3.0
South eastern humid plain,0.8524590163934426,0.8114035087719299,0.21130952380952378,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.728937728937729,0.6126816396415025,53.0,14.0
Southern humid plain,0.975,0.9487179487179487,0.3333333333333333,40.0,1.0
Irrigated North Western Plain,0.5714285714285714,0.8,0.75,7.0,2.0
