Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.8907849829351536,0.8029177626335087,0.34801030538335176,1465.0,153.0
Transitional plain zone of Inland drainage,0.8263473053892215,0.7596833247687564,0.3810336613675891,668.0,112.0
Semi arid eastern plain,0.98,0.6302040816326531,0.04144613032227712,250.0,5.0
Transitional plain zone of Luni Basin,0.96875,0.5614973262032086,0.19795084461114543,192.0,5.0
Flood prone eastern plain,0.9230769230769231,0.5353460972017673,0.07868739148410481,104.0,7.0
Sub humid southern plain and alluvial hill,0.9666666666666667,0.7969348659003831,0.12871572871572873,90.0,3.0
South eastern humid plain,0.9344262295081968,0.6140350877192983,0.19943864642631245,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7358490566037735,0.7710622710622711,0.48296580035522985,53.0,14.0
Southern humid plain,0.95,0.1282051282051282,0.02857142857142857,40.0,1.0
Irrigated North Western Plain,0.7142857142857143,0.9,0.8333333333333333,7.0,2.0
