Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6914675767918089,0.7181899213701334,0.4350781506096414,1465.0,333.0
Transitional plain zone of Inland drainage,0.6467065868263473,0.7082437275985662,0.4069438325728647,668.0,155.0
Semi arid eastern plain,0.732,0.712747736726205,0.48442579576003897,250.0,67.0
Transitional plain zone of Luni Basin,0.9322916666666666,0.6916122551481667,0.2232206189372855,192.0,11.0
Flood prone eastern plain,0.5769230769230769,0.7394110528438887,0.6812748789913103,104.0,37.0
Sub humid southern plain and alluvial hill,0.6888888888888889,0.5844155844155845,0.24128055066028897,90.0,13.0
South eastern humid plain,0.6557377049180327,0.5633074935400517,0.39056898075562246,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5471698113207547,0.5980769230769231,0.3268879943944585,53.0,13.0
Southern humid plain,0.625,0.7095959595959596,0.656425986707038,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
