Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7194539249146757,0.7695928981348636,0.26033640429453075,1465.0,153.0
Transitional plain zone of Inland drainage,0.5538922155688623,0.6909606243576566,0.29611739920631985,668.0,112.0
Semi arid eastern plain,0.912,0.5828571428571429,0.06373603862296442,250.0,5.0
Transitional plain zone of Luni Basin,0.9427083333333334,0.5240641711229946,0.19573457453156703,192.0,5.0
Flood prone eastern plain,0.5961538461538461,0.7150220913107511,0.12770195664932507,104.0,7.0
Sub humid southern plain and alluvial hill,0.9,0.5555555555555556,0.06019256896449879,90.0,3.0
South eastern humid plain,0.9180327868852459,0.8289473684210527,0.282258064516129,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6415094339622641,0.7380952380952381,0.5127611883914405,53.0,14.0
Southern humid plain,0.975,0.33333333333333337,0.037037037037037035,40.0,1.0
Irrigated North Western Plain,0.42857142857142855,0.6,0.6666666666666666,7.0,2.0
