Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5085324232081911,0.7509757412398921,0.205444253471394,1465.0,140.0
Transitional plain zone of Inland drainage,0.27395209580838326,0.587902458186653,0.22036158943404832,668.0,121.0
Semi arid eastern plain,0.536,0.5605742296918768,0.1147119316808968,250.0,12.0
Transitional plain zone of Luni Basin,0.7604166666666666,0.3291223404255319,0.018729446711319268,192.0,4.0
Flood prone eastern plain,0.8365384615384616,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.7444444444444445,0.9808429118773947,0.6666666666666667,90.0,3.0
South eastern humid plain,0.9344262295081968,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5094339622641509,0.0,0.0,53.0,0.0
Southern humid plain,0.975,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.7142857142857143,0.0,0.0,7.0,0.0
