Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6764505119453925,0.700474325916022,0.4164214026601925,1465.0,333.0
Transitional plain zone of Inland drainage,0.6452095808383234,0.6888385839149846,0.3853986357678803,668.0,155.0
Semi arid eastern plain,0.684,0.6676453796590816,0.4528344537294108,250.0,67.0
Transitional plain zone of Luni Basin,0.8645833333333334,0.7237569060773481,0.21331894251091746,192.0,11.0
Flood prone eastern plain,0.5865384615384616,0.755143202904397,0.6696202930945949,104.0,37.0
Sub humid southern plain and alluvial hill,0.6555555555555556,0.5914085914085915,0.1879150609644718,90.0,13.0
South eastern humid plain,0.7540983606557377,0.6537467700258399,0.4908692866610368,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5849056603773585,0.6057692307692308,0.38632257454679636,53.0,13.0
Southern humid plain,0.575,0.6767676767676768,0.6270419720326991,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
