Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6232081911262799,0.708402897796869,0.5337056453739001,1465.0,488.0
Transitional plain zone of Inland drainage,0.687125748502994,0.5644364884015813,0.22309810609791014,668.0,123.0
Semi arid eastern plain,0.544,0.6396095387840671,0.5368586728186608,250.0,106.0
Transitional plain zone of Luni Basin,0.625,0.5712265818310357,0.6992555335046875,192.0,123.0
Flood prone eastern plain,0.5192307692307693,0.6857603872529245,0.600554604681564,104.0,37.0
Sub humid southern plain and alluvial hill,0.5444444444444444,0.5121047430830039,0.5485403678346525,90.0,44.0
South eastern humid plain,0.5409836065573771,0.7450549450549451,0.6538657140206322,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.660377358490566,0.6186868686868686,0.3078040310543416,53.0,9.0
Southern humid plain,0.55,0.7196969696969696,0.6925237135496557,40.0,18.0
Irrigated North Western Plain,0.7142857142857143,0.6,0.6666666666666666,7.0,2.0
