Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7638225255972696,0.8042702853499122,0.32173253403603386,1465.0,153.0
Transitional plain zone of Inland drainage,0.5883233532934131,0.7289712872559095,0.3412599644080244,668.0,112.0
Semi arid eastern plain,0.96,0.5804081632653062,0.06507163428065536,250.0,5.0
Transitional plain zone of Luni Basin,0.9583333333333334,0.5379679144385027,0.28291062381560117,192.0,5.0
Flood prone eastern plain,0.7692307692307693,0.751840942562592,0.16828375113258834,104.0,7.0
Sub humid southern plain and alluvial hill,0.9444444444444444,0.7739463601532566,0.4255892255892256,90.0,3.0
South eastern humid plain,0.9344262295081968,0.824561403508772,0.2865530303030303,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.7582417582417582,0.5023274381522944,53.0,14.0
Southern humid plain,0.975,0.33333333333333337,0.037037037037037035,40.0,1.0
Irrigated North Western Plain,0.5714285714285714,0.6,0.6666666666666666,7.0,2.0
