Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6689419795221843,0.7202087246256856,0.43447827853362103,1465.0,333.0
Transitional plain zone of Inland drainage,0.6032934131736527,0.7085078287115639,0.3961247036417337,668.0,155.0
Semi arid eastern plain,0.728,0.7177228611043144,0.49604875995201114,250.0,67.0
Transitional plain zone of Luni Basin,0.9010416666666666,0.718232044198895,0.3290856417991069,192.0,11.0
Flood prone eastern plain,0.5961538461538461,0.7603872529245663,0.6801600634056979,104.0,37.0
Sub humid southern plain and alluvial hill,0.7111111111111111,0.5484515484515485,0.18292259040882866,90.0,13.0
South eastern humid plain,0.6721311475409836,0.6447028423772609,0.48734439569464694,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5471698113207547,0.5634615384615385,0.28737053387241795,53.0,13.0
Southern humid plain,0.575,0.7348484848484849,0.6738859005497254,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.16666666666666663,0.16666666666666666,7.0,1.0
