Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6375426621160409,0.6582902662885715,0.4624863453370303,1465.0,488.0
Transitional plain zone of Inland drainage,0.7080838323353293,0.550839113895726,0.2156141943366604,668.0,123.0
Semi arid eastern plain,0.54,0.5448113207547169,0.4491015967874937,250.0,106.0
Transitional plain zone of Luni Basin,0.5989583333333334,0.5309296571226582,0.6599799773239243,192.0,123.0
Flood prone eastern plain,0.6442307692307693,0.6010488100040339,0.48147102982740564,104.0,37.0
Sub humid southern plain and alluvial hill,0.5,0.48641304347826086,0.534579388562017,90.0,44.0
South eastern humid plain,0.5737704918032787,0.6241758241758242,0.5473715032076426,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.5883838383838385,0.23783606563345544,53.0,9.0
Southern humid plain,0.575,0.6060606060606061,0.5294464869834927,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.39999999999999997,0.3333333333333333,7.0,2.0
