Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5877133105802048,0.7753638814016172,0.2248216948506932,1465.0,140.0
Transitional plain zone of Inland drainage,0.3068862275449102,0.6137987822382039,0.23708029896451466,668.0,121.0
Semi arid eastern plain,0.66,0.5934873949579832,0.1690091754972338,250.0,12.0
Transitional plain zone of Luni Basin,0.9375,0.40359042553191493,0.020676348297997887,192.0,4.0
Flood prone eastern plain,0.9711538461538461,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.8333333333333334,0.9808429118773947,0.7916666666666666,90.0,3.0
South eastern humid plain,0.9344262295081968,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6226415094339622,0.0,0.0,53.0,0.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.7142857142857143,0.0,0.0,7.0,0.0
