Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.710580204778157,0.7744026980710984,0.2512083615622226,1465.0,153.0
Transitional plain zone of Inland drainage,0.5434131736526946,0.6935862024665982,0.27763931853083645,668.0,112.0
Semi arid eastern plain,0.92,0.5616326530612245,0.05879166000106649,250.0,5.0
Transitional plain zone of Luni Basin,0.9322916666666666,0.5347593582887701,0.19615158806170044,192.0,5.0
Flood prone eastern plain,0.5673076923076923,0.698821796759941,0.12935312909860117,104.0,7.0
Sub humid southern plain and alluvial hill,0.8777777777777778,0.6628352490421455,0.12761904761904763,90.0,3.0
South eastern humid plain,0.8852459016393442,0.8377192982456141,0.2537037037037037,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.660377358490566,0.7417582417582418,0.5226730072017806,53.0,14.0
Southern humid plain,0.975,0.3589743589743589,0.038461538461538464,40.0,1.0
Irrigated North Western Plain,0.42857142857142855,0.6,0.6666666666666666,7.0,2.0
