Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6320819112627987,0.645684766011712,0.45612696779159906,1465.0,488.0
Transitional plain zone of Inland drainage,0.7200598802395209,0.5282240620571343,0.20833401566702858,668.0,123.0
Semi arid eastern plain,0.572,0.5803197064989518,0.474041400081889,250.0,106.0
Transitional plain zone of Luni Basin,0.5729166666666666,0.5639212913868269,0.6892903264793504,192.0,123.0
Flood prone eastern plain,0.5288461538461539,0.5373134328358209,0.4562569130736572,104.0,37.0
Sub humid southern plain and alluvial hill,0.45555555555555555,0.5096343873517787,0.5381253888748295,90.0,44.0
South eastern humid plain,0.5901639344262295,0.6329670329670329,0.5561894002037602,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7169811320754716,0.5606060606060606,0.26648482600863554,53.0,9.0
Southern humid plain,0.475,0.5050505050505051,0.4736747273091491,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.39999999999999997,0.3333333333333333,7.0,2.0
