Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6273037542662117,0.7213974696712921,0.5489954143358501,1465.0,488.0
Transitional plain zone of Inland drainage,0.688622754491018,0.5760050719773252,0.2282430809153631,668.0,123.0
Semi arid eastern plain,0.56,0.6483228511530399,0.5439290108762788,250.0,106.0
Transitional plain zone of Luni Basin,0.6458333333333334,0.6180040061270178,0.7389770408388371,192.0,123.0
Flood prone eastern plain,0.5192307692307693,0.6837434449374747,0.6101889381138241,104.0,37.0
Sub humid southern plain and alluvial hill,0.5333333333333333,0.5200098814229248,0.5432788550010302,90.0,44.0
South eastern humid plain,0.5409836065573771,0.8087912087912088,0.7833586360440076,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6226415094339622,0.5707070707070707,0.33245158780873063,53.0,9.0
Southern humid plain,0.55,0.7348484848484849,0.6974045877494154,40.0,18.0
Irrigated North Western Plain,0.7142857142857143,0.5,0.41666666666666663,7.0,2.0
