Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7563139931740614,0.8107362637362637,0.23495723560398427,1465.0,65.0
Transitional plain zone of Inland drainage,0.844311377245509,0.7145299145299145,0.2130417418358506,668.0,18.0
Semi arid eastern plain,0.808,0.8110661268556005,0.26920403197775455,250.0,3.0
Transitional plain zone of Luni Basin,0.4479166666666667,0.6863905325443787,0.23531506637275756,192.0,23.0
Flood prone eastern plain,0.9038461538461539,0.6213592233009708,0.025,104.0,1.0
Sub humid southern plain and alluvial hill,0.6888888888888889,0.9247058823529412,0.48095238095238096,90.0,5.0
South eastern humid plain,0.4098360655737705,0.5932203389830508,0.52,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6037735849056604,0.7153846153846154,0.5299822865929185,53.0,13.0
Southern humid plain,0.9,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
