Vachellia nilotica
Lower Threshold: 0.006,     	Prevalence: 0.6666666666666666 (2 / 3)

prosopis juliflora
Lower Threshold: 0,     	Prevalence: 0.024411257897759907 (170 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.025906735751295335 (170 / 6562)
Lower Threshold: 0.0054,     	Prevalence: 0.028542646071188716 (170 / 5956)
Lower Threshold: 0.0055,     	Prevalence: 0.03291384317521781 (170 / 5165)
Lower Threshold: 0.0056,     	Prevalence: 0.04123962908735969 (169 / 4098)
Lower Threshold: 0.0057,     	Prevalence: 0.05636179547755653 (167 / 2963)
Lower Threshold: 0.0058,     	Prevalence: 0.08004212743549237 (152 / 1899)
Lower Threshold: 0.0059,     	Prevalence: 0.14078674948240166 (136 / 966)
Lower Threshold: 0.006,     	Prevalence: 0.2676056338028169 (95 / 355)
Lower Threshold: 0.0061,     	Prevalence: 0.42105263157894735 (32 / 76)
Lower Threshold: 0.0062,     	Prevalence: 0.8571428571428571 (6 / 7)
Lower Threshold: 0.0063,     	Prevalence: 1.0 (1 / 1)

Ficus benghalensis
Lower Threshold: 0,     	Prevalence: 0.022975301550832855 (160 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.027279005524861878 (158 / 5792)
Lower Threshold: 0.0054,     	Prevalence: 0.03677172874880611 (154 / 4188)
Lower Threshold: 0.0055,     	Prevalence: 0.061615700593336376 (135 / 2191)
Lower Threshold: 0.0056,     	Prevalence: 0.15437158469945356 (113 / 732)
Lower Threshold: 0.0057,     	Prevalence: 0.332 (83 / 250)
Lower Threshold: 0.0058,     	Prevalence: 0.5631067961165048 (58 / 103)
Lower Threshold: 0.0059,     	Prevalence: 0.6333333333333333 (19 / 30)
Lower Threshold: 0.006,     	Prevalence: 1.0 (4 / 4)
Lower Threshold: 0.0061,     	Prevalence: 1.0 (2 / 2)

Aegle Marmelos
Lower Threshold: 0,     	Prevalence: 0.019241815048822514 (134 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.019845971563981043 (134 / 6752)
Lower Threshold: 0.0054,     	Prevalence: 0.022140835691693023 (133 / 6007)
Lower Threshold: 0.0055,     	Prevalence: 0.03395142334813267 (130 / 3829)
Lower Threshold: 0.0056,     	Prevalence: 0.07713690062543432 (111 / 1439)
Lower Threshold: 0.0057,     	Prevalence: 0.16624040920716113 (65 / 391)
Lower Threshold: 0.0058,     	Prevalence: 0.45 (36 / 80)
Lower Threshold: 0.0059,     	Prevalence: 0.6666666666666666 (2 / 3)
Lower Threshold: 0.006,     	Prevalence: 1.0 (1 / 1)

Ficus religiosa
Lower Threshold: 0,     	Prevalence: 0.016513497989661115 (115 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.016611295681063124 (115 / 6923)
Lower Threshold: 0.0054,     	Prevalence: 0.017597551644988524 (115 / 6535)
Lower Threshold: 0.0055,     	Prevalence: 0.02250351617440225 (112 / 4977)
Lower Threshold: 0.0056,     	Prevalence: 0.041560644614079725 (98 / 2358)
Lower Threshold: 0.0057,     	Prevalence: 0.0962962962962963 (65 / 675)
Lower Threshold: 0.0058,     	Prevalence: 0.2085889570552147 (34 / 163)
Lower Threshold: 0.0059,     	Prevalence: 0.4186046511627907 (18 / 43)
Lower Threshold: 0.006,     	Prevalence: 0.75 (3 / 4)

Mangifera indica
Lower Threshold: 0,     	Prevalence: 0.014503159103963239 (101 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.016994783779236074 (101 / 5943)
Lower Threshold: 0.0054,     	Prevalence: 0.01968503937007874 (100 / 5080)
Lower Threshold: 0.0055,     	Prevalence: 0.02483829236739974 (96 / 3865)
Lower Threshold: 0.0056,     	Prevalence: 0.03857442348008386 (92 / 2385)
Lower Threshold: 0.0057,     	Prevalence: 0.06825938566552901 (80 / 1172)
Lower Threshold: 0.0058,     	Prevalence: 0.12053571428571429 (54 / 448)
Lower Threshold: 0.0059,     	Prevalence: 0.248 (31 / 125)
Lower Threshold: 0.006,     	Prevalence: 0.4074074074074074 (11 / 27)
Lower Threshold: 0.0061,     	Prevalence: 1.0 (1 / 1)

Ziziphus jujuba
Lower Threshold: 0,     	Prevalence: 0.013210798391728892 (92 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.013469985358711566 (92 / 6830)
Lower Threshold: 0.0054,     	Prevalence: 0.014097456328532026 (92 / 6526)
Lower Threshold: 0.0055,     	Prevalence: 0.016242937853107344 (92 / 5664)
Lower Threshold: 0.0056,     	Prevalence: 0.021316033364226137 (92 / 4316)
Lower Threshold: 0.0057,     	Prevalence: 0.03139013452914798 (84 / 2676)
Lower Threshold: 0.0058,     	Prevalence: 0.055597867479055596 (73 / 1313)
Lower Threshold: 0.0059,     	Prevalence: 0.11083743842364532 (45 / 406)
Lower Threshold: 0.006,     	Prevalence: 0.2808988764044944 (25 / 89)
Lower Threshold: 0.0061,     	Prevalence: 0.5454545454545454 (6 / 11)
Lower Threshold: 0.0062,     	Prevalence: 1.0 (1 / 1)

Vachellia leucophloea
Lower Threshold: 0,     	Prevalence: 0.008472142446869614 (59 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.010582010582010581 (58 / 5481)
